GEOID10,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
35001000107,New Mexico,Bernalillo County,1,2715,1257,0,0,0,0,0,0,0,0,0,4.2,119770,0,1,0,1,0,0,0,0,196,1822,196,27,210,27,1822,67.11,210,7.72,298,10.98,453,16.68,1647,60.67,25,0.91,40,1.47,2,0.08,16,0.59,92,3.39,253,9.3,20,1.58,69,5.49,196,7.23,27,0.98,32,1.18,39,1.44,179,6.58,1,0.03,8,0.3,0,0,0,0.01,9,0.31,24,0.87,3,0.24,7,0.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,317,467,621,2386,60,52,3,71,143,426,41,95
35001000108,New Mexico,Bernalillo County,1,2683,1238,0,38,1.42,0,0,0,0,0,0,7.4,79063,0,0,0,0,0,0,0,0,NULL,180,NULL,NULL,20,NULL,180,6.7,20,0.74,30,1.11,43,1.62,159,5.93,2,0.09,4,0.15,0,0,4,0.16,10,0.38,28,1.05,4,0.35,6,0.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,602,507,487,2200,79,94,0,110,200,568,75,90
35001000109,New Mexico,Bernalillo County,1,2577,1024,0,6,0.23,0,0,0,0,0,0,7.6,103188,0,1,0,1,0,0,0,0,NULL,1520,NULL,NULL,449,NULL,1520,58.98,449,17.42,324,12.58,265,10.3,1189,46.14,35,1.36,50,1.94,1,0.02,70,2.72,175,6.79,436,16.93,40,3.87,51,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,484,545,545,2114,48,78,1,89,247,663,46,78
35001000110,New Mexico,Bernalillo County,1,3561,1735,0,0,0,0,1,0,0,0,1,22.6,60987,0,1,0,1,0,0,0,0,NULL,1188,NULL,NULL,422,NULL,1188,33.35,422,11.86,244,6.85,213,5.97,952,26.74,51,1.43,19,0.52,3,0.09,48,1.35,115,3.22,324,9.11,19,1.07,94,5.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1697,673,589,2730,142,61,5,131,492,1016,102,278
35001000111,New Mexico,Bernalillo County,1,2807,1133,0,8,0.29,0,0,0,0,0,0,4.9,101667,0,1,0,1,0,0,0,0,NULL,1409,NULL,NULL,135,NULL,1409,50.21,135,4.81,337,12,220,7.83,1145,40.78,50,1.78,72,2.57,0,0,24,0.85,119,4.24,358,12.75,10,0.87,11,0.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,413,621,513,2361,81,120,0,31,214,700,22,20
35001000112,New Mexico,Bernalillo County,1,2080,967,0,0,0,0,0,0,0,0,0,10.1,88654,1,1,1,1,1,0,0,0,1738,2080,1738,509,616,509,2080,100,616,29.6,354,17.02,434,20.87,1848,88.85,35,1.68,55,2.64,1,0.05,41,1.97,100,4.81,318,15.29,15,1.54,46,4.78,1738,83.56,509,24.46,280,13.48,380,18.26,1550,74.52,29,1.39,44,2.11,1,0.04,33,1.61,81,3.89,253,12.17,11,1.17,39,4.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,584,354,434,1848,35,55,1,41,100,318,13,41
35001000113,New Mexico,Bernalillo County,1,3157,1380,0,0,0,0,1,0,0,0,1,20,65446,0,1,0,1,0,0,0,0,40,1480,40,14,548,14,1480,46.89,548,17.37,302,9.57,196,6.2,1176,37.25,78,2.47,32,1.01,3,0.09,52,1.64,140,4.42,422,13.36,54,3.93,101,7.31,40,1.26,14,0.44,9,0.29,10,0.31,37,1.18,0,0,1,0.05,0,0,1,0.02,1,0.02,12,0.37,2,0.12,3,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1773,697,425,2525,135,64,3,119,311,956,66,200
35001000114,New Mexico,Bernalillo County,1,3197,1308,0,4,0.13,0,0,0,0,0,0,19.7,57177,0,0,0,0,0,0,0,0,NULL,356,NULL,NULL,123,NULL,356,11.13,123,3.84,75,2.35,36,1.13,286,8.94,9,0.28,4,0.11,0,0,13,0.4,45,1.39,116,3.62,9,0.69,26,1.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1066,708,375,2470,83,48,4,146,446,1213,70,218
35001000115,New Mexico,Bernalillo County,1,3269,1449,0,8,0.24,0,1,0,1,1,1,22.7,49735,0,1,0,1,0,0,0,1,NULL,1679,NULL,NULL,773,NULL,1679,51.36,773,23.66,392,11.99,173,5.3,1060,32.43,101,3.1,26,0.8,3,0.09,140,4.29,348,10.66,632,19.33,158,10.91,202,13.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1570,744,427,2318,163,40,4,212,532,1117,239,393
35001000116,New Mexico,Bernalillo County,1,2908,1231,0,10,0.34,0,0,0,0,0,0,5.1,84211,0,1,0,1,0,0,0,0,196,1863,196,31,350,31,1863,64.07,350,12.04,377,12.97,382,13.15,1564,53.8,41,1.4,33,1.15,1,0.05,32,1.1,191,6.58,513,17.64,8,0.64,21,1.67,196,6.74,31,1.08,36,1.24,58,1.98,174,5.99,4,0.13,2,0.06,0,0.01,2,0.07,14,0.47,45,1.54,1,0.09,2,0.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,609,612,549,2363,83,73,2,52,335,874,8,31
